experiment,shape,closed,method,parameterization,n_points,noise_sigma,trial,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
noise_robustness,s_curve,False,bspline_ls,chord,40,0.02,4,0.017597959829831564,0.017729619854293423,0.03384701955896975,0.00010911773829773056,0.00028449999808799475
noise_robustness,s_curve,False,cubic_spline,chord,40,0.04,4,0.00019852170264222192,0.06316266819766504,0.11473343248627074,0.001565937010525752,0.0013270000017655548
noise_robustness,s_curve,False,bspline_interp,chord,40,0.04,4,0.00019662476294539543,0.07471045505805698,0.1377862706150565,0.001614412684544693,0.0008649000010336749
noise_robustness,s_curve,False,poly_ls,chord,40,0.04,4,0.03258086189419953,0.040314244109592626,0.07188882182480434,0.00014580954029386634,0.0008185999977285974
noise_robustness,s_curve,False,bspline_ls,chord,40,0.04,4,0.019686636726483416,0.051579970174005896,0.11885947127234352,0.0005239346096261471,0.0007570000016130507
noise_robustness,s_curve,False,cubic_spline,chord,40,0.06,4,0.0002586840572465331,0.08468232102030007,0.1671670239650999,0.002060284118209467,0.0028185000010125805
noise_robustness,s_curve,False,bspline_interp,chord,40,0.06,4,0.0002536802447242052,0.09871304738281252,0.18910957854954147,0.0021362211541059543,0.0023552999991807155
noise_robustness,s_curve,False,poly_ls,chord,40,0.06,4,0.045638534129008375,0.045014552470422464,0.10711135138539327,0.0001349127829374156,0.0005080999981146306
noise_robustness,s_curve,False,bspline_ls,chord,40,0.06,4,0.016578672096892944,0.08727537172653903,0.17662994532496384,0.0010548195666398813,0.0009542999978293665
noise_robustness,circle,True,cubic_spline,chord,40,0.0,0,1.3659785432687015e-05,0.004088217692949157,0.0063897217431425415,0.00015797832047192517,0.002836400002706796
noise_robustness,circle,True,bspline_interp,chord,40,0.0,0,1.365992629776585e-05,0.004088188506929896,0.006389721745939096,0.0001579783066254768,0.0019031999981962144
noise_robustness,circle,True,poly_ls,chord,40,0.0,0,0.0007544623560756166,0.004421855974550773,0.006379460058081482,0.0001590377714093497,0.0005316999995557126
