alpha,pattern,regime_label,rule_reason,poincare_level_count,poincare_range,long_i_min,long_i_max,long_i_mean,long_i_range,relative_amplitude,n_peaks,mean_peak_interval,peak_height_cv,peak_interval_cv
0.37333333333333335,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,8,0.012546801530867917,6.860874451344514e-36,0.023354224372367626,0.00026006563369802745,0.023354224372367626,89.80127070339923,11,5.596712328767124,0.5927800280172939,0.48700255608443127
0.3866666666666667,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,6,0.01820588330807565,6.638619568351523e-36,0.023013891220952102,0.0002569827060106237,0.023013891220952102,89.55424113247801,12,4.90958904109589,0.6525418396005263,0.5239192831137552
0.4,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,6,0.005960121972447576,5.079476457843929e-36,0.023334331395329335,0.00026086978505439264,0.023334331395329335,89.44819497000778,14,4.295679662802951,0.7352278482177795,0.6113731463540943
0.4133333333333334,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,7,0.02053978395214289,1.445929101650599e-37,0.02311404930315288,0.00025613692385859766,0.02311404930315288,90.24098890136264,12,4.5417185554171855,0.7767572530123673,0.7167974574009859
0.4266666666666667,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,7,0.006616701090634003,8.366072869398502e-35,0.022920702841013996,0.00027007503920516027,0.022920702841013996,84.86790526244253,13,4.682876712328768,0.6307048464330308,0.5975414853244883
0.44,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,5,0.028102714971725624,1.971458230803594e-40,0.02864826632048809,0.00027342373099533996,0.02864826632048809,104.77607856567633,8,8.007827788649706,0.007836973191332978,0.00840470511869427
0.45333333333333337,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,7,0.029036416381810017,5.57954386999563e-41,0.0294778838309256,0.0002718589397814522,0.0294778838309256,108.43080552959897,8,8.003913894324855,0.04589406597991608,0.013819495411218607
0.4666666666666667,irregular or complex oscillation,irregular / complex,peak intervals or peak heights vary strongly,7,0.020423334196700473,2.9921496963231205e-38,0.024535062699844054,0.0002822658899291586,0.024535062699844054,86.9218122884126,12,5.32054794520548,0.5129596731183815,0.5044581335325211
0.48000000000000004,irregular or complex oscillation,irregular / complex,"peak intervals do not match a stable annual, biennial, or multi-year rule",6,0.016712270718735087,5.740507236818498e-41,0.03000691372305379,0.0002563715737488088,0.03000691372305379,117.0446211499812,9,6.487328767123287,0.44560228478695124,0.39826765025024136
0.49333333333333335,multi-year cycle,multi-year,regular recurrent peaks occur on a multi-year timescale,3,0.02033802513802299,5.317297552912924e-42,0.03028819132404018,0.0002797597692164294,0.03028819132404018,108.26499967766433,9,7.251712328767124,0.12025081269816433,0.06846207781322179
