t,s,i,r,N,I0,alpha,phase,R0_basic
0.9876712328767123,0.013362178426721712,1.7376505300045325e-21,0.9866378215732772,10000,20,0.0,0.0,8.0
0.989041095890411,0.01338148621865216,1.6305276918879815e-21,0.9866185137813467,10000,20,0.0,0.0,8.0
0.9904109589041096,0.013400793632743017,1.5300256111666497e-21,0.9865992063672558,10000,20,0.0,0.0,8.0
0.9917808219178083,0.01342010066900168,1.4357340548241696e-21,0.9865798993309972,10000,20,0.0,0.0,8.0
0.9931506849315068,0.01343940732743554,1.3472682723650388e-21,0.9865605926725634,10000,20,0.0,0.0,8.0
0.9945205479452055,0.013458713608051993,1.2642674089689985e-21,0.9865412863919469,10000,20,0.0,0.0,8.0
0.9958904109589041,0.013478019510858431,1.1863930177057366e-21,0.9865219804891405,10000,20,0.0,0.0,8.0
0.9972602739726028,0.013497325035862252,1.1133276646105941e-21,0.9865026749641367,10000,20,0.0,0.0,8.0
0.9986301369863014,0.013516630183070845,1.0447736208112703e-21,0.9864833698169281,10000,20,0.0,0.0,8.0
1.0,0.013535934952491602,9.80451636259576e-22,0.9864640650475073,10000,20,0.0,0.0,8.0
1.0013698630136987,0.013555239344131921,9.200997899640261e-22,0.986444760655867,10000,20,0.0,0.0,8.0
1.0027397260273974,0.01357454335799919,8.634724119390775e-22,0.9864254566419997,10000,20,0.0,0.0,8.0
1.0041095890410958,0.013593846994100801,8.103390723866143e-22,0.9864061530058981,10000,20,0.0,0.0,8.0
1.0054794520547945,0.013613150252444153,7.6048363390648425e-22,0.9863868497475548,10000,20,0.0,0.0,8.0
1.0068493150684932,0.013632453133036635,7.137033627963686e-22,0.9863675468669623,10000,20,0.0,0.0,8.0
1.0082191780821919,0.013651755635885639,6.698080957478837e-22,0.9863482443641133,10000,20,0.0,0.0,8.0
1.0095890410958903,0.013671057760998554,6.286194584774724e-22,0.9863289422390004,10000,20,0.0,0.0,8.0
1.010958904109589,0.01369035950838278,5.899701330472523e-22,0.9863096404916162,10000,20,0.0,0.0,8.0
1.0123287671232877,0.013709660878045702,5.537031708344051e-22,0.9862903391219533,10000,20,0.0,0.0,8.0
