alpha,sample_index,t_sample,i_sample
0.33333333333333337,28,88.0,1.8213641405172685e-07
0.33333333333333337,29,89.0,4.898694818739326e-08
0.33333333333333337,30,90.0,9.837204665342902e-11
0.33333333333333337,31,91.0,6.601676747536481e-09
0.33333333333333337,32,92.0,0.0070844766384714295
0.33333333333333337,33,93.0,4.947363415457388e-14
0.33333333333333337,34,94.0,1.3010220578583892e-21
0.33333333333333337,35,95.0,1.3412121354860103e-24
0.33333333333333337,36,96.0,4.665096575650348e-23
0.33333333333333337,37,97.0,4.7221945840293996e-17
0.33333333333333337,38,98.0,1.2022706946969282e-06
0.33333333333333337,39,99.0,3.433061320781181e-10
0.33333333333333337,40,100.0,1.93689788704552e-15
0.33333333333333337,41,101.0,3.9697550803463013e-16
0.33333333333333337,42,102.0,2.5466479662151366e-12
0.33333333333333337,43,103.0,0.0004329243564220896
0.33333333333333337,44,104.0,2.4579744869769446e-13
0.33333333333333337,45,105.0,4.51831556977253e-21
0.33333333333333337,46,106.0,3.272528711799862e-24
0.33333333333333337,47,107.0,8.037393901817421e-23
0.33333333333333337,48,108.0,5.773124730835549e-17
0.33333333333333337,49,109.0,1.0480879920875214e-06
0.33333333333333337,50,110.0,6.083700553980307e-10
0.33333333333333337,51,111.0,6.742670625448974e-15
0.33333333333333337,52,112.0,2.688861800129039e-15
0.33333333333333337,53,113.0,3.3247020774348374e-11
0.33333333333333337,54,114.0,0.007300575398248429
0.33333333333333337,55,115.0,9.249898222152752e-15
0.33333333333333337,56,116.0,3.1172339777888835e-23
0.33333333333333337,57,117.0,4.239939773994525e-27
0.33333333333333337,58,118.0,2.002521043566107e-26
0.33333333333333337,59,119.0,2.831490347394618e-21
0.33333333333333337,60,120.0,1.0355596267001928e-11
0.3466666666666667,1,61.0,0.003697378929305021
0.3466666666666667,2,62.0,2.0655647779945886e-13
0.3466666666666667,3,63.0,3.540378733582195e-19
0.3466666666666667,4,64.0,2.2419787726087256e-20
0.3466666666666667,5,65.0,4.518523654368568e-17
0.3466666666666667,6,66.0,2.5019121751224483e-09
0.3466666666666667,7,67.0,0.001153456972868493
0.3466666666666667,8,68.0,3.069564724988143e-14
0.3466666666666667,9,69.0,3.274321560532538e-20
0.3466666666666667,10,70.0,1.2991465834817641e-21
0.3466666666666667,11,71.0,1.6514231806700404e-18
0.3466666666666667,12,72.0,5.80508538600879e-11
0.3466666666666667,13,73.0,0.002091346210850688
0.3466666666666667,14,74.0,2.189789852841708e-16
0.3466666666666667,15,75.0,1.0097588748827056e-24
0.3466666666666667,16,76.0,1.870936829222654e-28
0.3466666666666667,17,77.0,1.198459542324545e-27
0.3466666666666667,18,78.0,2.2883932124858503e-22
0.3466666666666667,19,79.0,1.1254032480244504e-12
0.3466666666666667,20,80.0,0.001827239544884443
0.3466666666666667,21,81.0,4.1665014693159176e-17
0.3466666666666667,22,82.0,4.3560714907495505e-26
0.3466666666666667,23,83.0,1.8688994175593072e-30
0.3466666666666667,24,84.0,2.8301639031514737e-30
0.3466666666666667,25,85.0,1.303961769694367e-25
0.3466666666666667,26,86.0,1.5788763722573312e-16
0.3466666666666667,27,87.0,0.003861835346504428
0.3466666666666667,28,88.0,4.726757019038333e-16
0.3466666666666667,29,89.0,3.198555275984579e-26
0.3466666666666667,30,90.0,9.233687497732555e-32
0.3466666666666667,31,91.0,9.775881856444134e-33
0.3466666666666667,32,92.0,3.270047187496017e-29
0.3466666666666667,33,93.0,2.9836040095686653e-21
0.3466666666666667,34,94.0,6.423692430530947e-09
0.3466666666666667,35,95.0,6.278123930030826e-06
0.3466666666666667,36,96.0,4.27716360895581e-06
