alpha,peak_index,t_peak,i_peak,prominence
0.06666666666666667,14,76.14246575342466,0.0013324671570268726,0.0013219704718205913
0.06666666666666667,15,78.27397260273973,0.0013487744774166284,0.0013312283946626422
0.06666666666666667,16,80.21643835616439,0.0011009678373082882,0.001047471853076911
0.06666666666666667,17,82.17260273972603,0.0012735998303849954,0.0012330911595949332
0.06666666666666667,18,84.22465753424657,0.0014086059831256701,0.0013834759461588625
0.06666666666666667,19,86.22739726027397,0.001272461130405572,0.0012354425848042727
0.06666666666666667,20,88.2,0.001275782850722415,0.0012462628886048617
0.06666666666666667,21,90.20821917808219,0.0013637478043418544,0.0013385100970268664
0.06666666666666667,22,92.22465753424657,0.0013207005111468269,0.001292426676959284
0.06666666666666667,23,94.20821917808219,0.00128669908087827,0.0012533102559502995
0.06666666666666667,24,96.20821917808219,0.0013372474358593922,0.0013117164745294018
0.06666666666666667,25,98.21917808219177,0.0013322562566402702,0.0013055473682766522
0.06666666666666667,26,100.21369863013699,0.0013023538053704362,0.0012718560737744532
0.06666666666666667,27,102.20821917808219,0.0013242466998483588,0.0012950740567690513
0.06666666666666667,28,104.21643835616439,0.0013313042191109793,0.0013036882684358305
0.06666666666666667,29,106.21369863013699,0.0013133398825639106,0.0012841402498467423
0.06666666666666667,30,108.21095890410959,0.0013194448036884842,0.0012905084368173665
0.06666666666666667,31,110.21369863013699,0.001327602357712422,0.0012994735559625577
0.06666666666666667,32,112.21369863013699,0.0013191154335192056,0.0012907916480288412
0.06666666666666667,33,114.21369863013699,0.0013186607293384292,0.0012897179178391585
0.06666666666666667,34,116.21369863013699,0.001324464935278296,0.001296280607913245
0.06666666666666667,35,118.21369863013699,0.0013214941839299638,0.001292811576365597
0.08,1,60.153424657534245,0.0003283357897280172,6.031223467071594e-05
0.08,2,61.30684931506849,0.00046462538792711136,0.00028709013721121563
0.08,3,62.16164383561644,0.000746423877801158,0.0007062695672535079
0.08,4,64.12054794520547,0.0014350574600905824,0.0014068851963195837
0.08,5,66.34520547945206,0.0011330800387433719,0.0011176723080767415
0.08,6,67.16986301369863,0.00030642243527103253,0.00012037122365453617
0.08,7,68.28767123287672,0.0005459979985386588,0.0003996014774007232
0.08,8,69.1917808219178,0.0006121268724412087,0.0005642454921590999
0.08,9,70.30684931506849,0.00028627748460831234,0.00013351180430037522
0.08,10,71.14520547945206,0.0010072358880115516,0.0009606764371182753
0.08,11,73.16986301369863,0.0016979206965653275,0.0016932903425651814
0.08,12,75.36438356164383,0.0009930227823901966,0.0009807856673491326
0.08,13,76.13698630136986,0.0004002575285960862,0.0001475229177403011
0.08,14,77.33424657534246,0.00033677567151537595,0.00013685613072901283
0.08,15,78.12328767123287,0.0009770283719212677,0.0009433955368227828
0.08,16,80.17534246575343,0.0017460022762402227,0.0017413864292112479
0.08,17,82.36986301369863,0.0009674492759578022,0.0009363654401458458
0.08,18,83.13150684931507,0.0004193695128726925,0.00015183368058768293
0.08,19,84.34246575342466,0.0003004550283132191,0.00010008395133856085
0.08,20,85.11506849315069,0.0010568550760586537,0.0010475356623301697
0.08,21,87.21095890410959,0.001696154665376608,0.0016868700398366926
0.08,22,89.2931506849315,0.0012067716677227314,0.0011661712471705617
0.08,23,90.23561643835616,0.00019457912783691687,0.00010230751623691729
0.08,24,91.21095890410959,0.0009581207229800349,0.0008868942771608885
0.08,25,92.30684931506849,0.00013920648302081313,4.473409146268451e-05
0.08,26,93.14794520547946,0.0013249668226733332,0.0013140712087786103
0.08,27,95.26027397260275,0.0014522966726194916,0.0014286473826102795
0.08,28,96.25479452054795,8.184702558045958e-05,3.6642893050435556e-05
0.08,29,97.20547945205479,0.0012830637075521723,0.001238616526205353
0.08,30,99.1917808219178,0.0015078175610706542,0.0014937608959561931
0.08,31,101.26027397260275,0.0013685796135694903,0.0013478590114125953
