t,model,s,i,r,R0,beta,gamma
0.24657534246575344,basic_sir,0.0003365052811763106,1.0909225735184734e-05,0.9996525854930881,8.0,416.0,52.0
0.2493150684931507,basic_sir,0.00033650138089306254,9.464298143558682e-06,0.999654034320963,8.0,416.0,52.0
0.25205479452054796,basic_sir,0.00033649799723918923,8.2107512625847e-06,0.9996552912514979,8.0,416.0,52.0
0.2547945205479452,basic_sir,0.000336495061778051,7.1232367187796975e-06,0.9996563817015028,8.0,416.0,52.0
0.25753424657534246,basic_sir,0.00033649251513968197,6.179763528428854e-06,0.9996573277213315,8.0,416.0,52.0
0.2602739726027397,basic_sir,0.00033649030581935524,5.361253412130446e-06,0.9996581484407682,8.0,416.0,52.0
0.263013698630137,basic_sir,0.0003364883891354153,4.651155007693184e-06,0.9996588604558566,8.0,416.0,52.0
0.26575342465753427,basic_sir,0.0003364867263252487,4.035109180362185e-06,0.9996594781644942,8.0,416.0,52.0
0.2684931506849315,basic_sir,0.00033648528376107044,3.5006586625788555e-06,0.9996600140575761,8.0,416.0,52.0
0.27123287671232876,basic_sir,0.00033648403226963825,3.036996151862796e-06,0.9996604789715783,8.0,416.0,52.0
0.273972602739726,basic_sir,0.0003364829465421145,2.6347457730628667e-06,0.9996608823076846,8.0,416.0,52.0
0.2767123287671233,basic_sir,0.00033648200462212515,2.2857734858857013e-06,0.9996612322218917,8.0,416.0,52.0
0.27945205479452057,basic_sir,0.00033648118746164974,1.9830226039135723e-06,0.9996615357899342,8.0,416.0,52.0
0.2821917808219178,basic_sir,0.0003364804785357529,1.7203710991049243e-06,0.9996617991503649,8.0,416.0,52.0
0.28493150684931506,basic_sir,0.0003364798635083589,1.4925078062979244e-06,0.9996620276286851,8.0,416.0,52.0
0.2876712328767123,basic_sir,0.0003364793299423043,1.2948250244168931e-06,0.999662225845033,8.0,416.0,52.0
0.2904109589041096,basic_sir,0.0003364788670478032,1.123325342642196e-06,0.9996623978076092,8.0,416.0,52.0
0.29315068493150687,basic_sir,0.0003364784654642331,9.745408074499342e-07,0.999662546993728,8.0,416.0,52.0
0.2958904109589041,basic_sir,0.00033647811707082864,8.454627959750948e-07,0.9996626764201328,8.0,416.0,52.0
0.29863013698630136,basic_sir,0.00033647781482245203,7.334811776470002e-07,0.9996627887039995,8.0,416.0,52.0
0.3013698630136986,basic_sir,0.0003364775526071183,6.363315338662328e-07,0.9996628861158586,8.0,416.0,52.0
0.3041095890410959,basic_sir,0.00033647732512239316,5.520493684360331e-07,0.9996629706255088,8.0,416.0,52.0
0.30684931506849317,basic_sir,0.0003364771277681637,4.789303828231007e-07,0.9996630439418487,8.0,416.0,52.0
0.3095890410958904,basic_sir,0.0003364769565536124,4.1549601296131984e-07,0.9996631075474331,8.0,416.0,52.0
0.31232876712328766,basic_sir,0.0003364768080165136,3.6046353070716513e-07,0.9996631627284526,8.0,416.0,52.0
0.3150684931506849,basic_sir,0.0003364766791532193,3.1272010535866675e-07,0.9996632106007413,8.0,416.0,52.0
0.3178082191780822,basic_sir,0.00033647656735791927,2.713003007274885e-07,0.9996632521323412,8.0,416.0,52.0
0.32054794520547947,basic_sir,0.0003364764703699464,2.3536655272504867e-07,0.9996632881630771,8.0,416.0,52.0
0.3232876712328767,basic_sir,0.00033647638622806146,2.041922326935029e-07,0.9996633194215391,8.0,416.0,52.0
0.32602739726027397,basic_sir,0.0003364763132307934,1.7714695399960693e-07,0.999663346539815,8.0,416.0,52.0
0.3287671232876712,basic_sir,0.0003364762499020326,1.536838247711836e-07,0.999663370066273,8.0,416.0,52.0
0.3315068493150685,basic_sir,0.0003364761949611812,1.3332838900951713e-07,0.9996633904766496,8.0,416.0,52.0
0.33424657534246577,basic_sir,0.00033647614729725756,1.1566903245219526e-07,0.9996634081836702,8.0,416.0,52.0
0.336986301369863,basic_sir,0.00033647610594643017,1.0034865918011225e-07,0.9996634235453943,8.0,416.0,52.0
0.33972602739726027,basic_sir,0.00033647607007252753,8.70574706584987e-08,0.9996634368724566,8.0,416.0,52.0
0.3424657534246575,basic_sir,0.00033647603895012947,7.552670119451427e-08,0.9996634484343485,8.0,416.0,52.0
0.3452054794520548,basic_sir,0.00033647601194989804,6.552318313396746e-08,0.9996634584648668,8.0,416.0,52.0
0.34794520547945207,basic_sir,0.0003364759885258514,5.684463189815741e-08,0.9996634671668422,8.0,416.0,52.0
0.3506849315068493,basic_sir,0.000336475968204323,4.931555551795946e-08,0.9996634747162401,8.0,416.0,52.0
0.35342465753424657,basic_sir,0.00033647595057438383,4.2783705950451676e-08,0.9996634812657196,8.0,416.0,52.0
0.3561643835616438,basic_sir,0.00033647593527953235,3.711700041894138e-08,0.9996634869477199,8.0,416.0,52.0
0.3589041095890411,basic_sir,0.0003364759220104858,3.220085052175708e-08,0.9996634918771389,8.0,416.0,52.0
0.36164383561643837,basic_sir,0.00033647591049892607,2.7935845100801427e-08,0.9996634961536559,8.0,416.0,52.0
