t,model,s,i,r,R0,beta,gamma,beta0,mu
7.120547945205479,demographic_sir,0.09573452532218878,4.1291020845479315e-45,0.9042654746778143,15.0,,52.0,780.2142857142857,0.014285714285714285
7.123287671232877,demographic_sir,0.0957699166246902,4.3939670582835353e-45,0.9042300833753129,15.0,,52.0,780.2142857142857,0.014285714285714285
7.126027397260274,demographic_sir,0.09580530654204054,4.676175773840162e-45,0.9041946934579624,15.0,,52.0,780.2142857142857,0.014285714285714285
7.1287671232876715,demographic_sir,0.09584069507429403,4.976886213733348e-45,0.904159304925709,15.0,,52.0,780.2142857142857,0.014285714285714285
7.131506849315069,demographic_sir,0.09587608222150487,5.297335111444638e-45,0.9041239177784981,15.0,,52.0,780.2142857142857,0.014285714285714285
7.134246575342466,demographic_sir,0.09591146798372725,5.638843401577601e-45,0.9040885320162757,15.0,,52.0,780.2142857142857,0.014285714285714285
7.136986301369863,demographic_sir,0.09594685236101538,6.002822053551049e-45,0.9040531476389876,15.0,,52.0,780.2142857142857,0.014285714285714285
7.13972602739726,demographic_sir,0.0959822353534235,6.390778316254361e-45,0.9040177646465795,15.0,,52.0,780.2142857142857,0.014285714285714285
7.142465753424657,demographic_sir,0.09601761696100578,6.804322403078448e-45,0.9039823830389971,15.0,,52.0,780.2142857142857,0.014285714285714285
7.145205479452055,demographic_sir,0.09605299718381642,7.245174648877848e-45,0.9039470028161865,15.0,,52.0,780.2142857142857,0.014285714285714285
7.147945205479452,demographic_sir,0.09608837602190964,7.715173172710857e-45,0.9039116239780932,15.0,,52.0,780.2142857142857,0.014285714285714285
7.1506849315068495,demographic_sir,0.09612375347533962,8.216282082671981e-45,0.9038762465246633,15.0,,52.0,780.2142857142857,0.014285714285714285
7.153424657534247,demographic_sir,0.09615912954416055,8.750600261777301e-45,0.9038408704558424,15.0,,52.0,780.2142857142857,0.014285714285714285
7.156164383561644,demographic_sir,0.09619450422842664,9.320370776706352e-45,0.9038054957715763,15.0,,52.0,780.2142857142857,0.014285714285714285
7.1589041095890416,demographic_sir,0.09622987752819205,9.927990954257514e-45,0.9037701224718109,15.0,,52.0,780.2142857142857,0.014285714285714285
7.161643835616438,demographic_sir,0.09626524944351098,1.0576023173653349e-44,0.903734750556492,15.0,,52.0,780.2142857142857,0.014285714285714285
7.164383561643835,demographic_sir,0.09630061997443762,1.1267206426356823e-44,0.9036993800255654,15.0,,52.0,780.2142857142857,0.014285714285714285
7.167123287671233,demographic_sir,0.09633598912102616,1.2004468698839408e-44,0.9036640108789769,15.0,,52.0,780.2142857142857,0.014285714285714285
