t,beta_t,i_t,alpha,R0,beta0
44.821917808219176,882.4187444283355,5.4185077101027113e-11,0.3,15.0,780.2142857142857
44.824657534246576,886.0282432189778,5.992344686419742e-11,0.3,15.0,780.2142857142857
44.827397260273976,889.6063870503593,6.634073869122216e-11,0.3,15.0,780.2142857142857
44.83013698630137,893.1521156412399,7.352359494607368e-11,0.3,15.0,780.2142857142857
44.83287671232877,896.6643783157151,8.157037095691079e-11,0.3,15.0,780.2142857142857
44.83561643835616,900.1421343145421,9.059279167401787e-11,0.3,15.0,780.2142857142857
44.83835616438356,903.5843531035855,1.0071785118773465e-10,0.3,15.0,780.2142857142857
44.84109589041096,906.990014679117,1.1208999172511937e-10,0.3,15.0,780.2142857142857
44.843835616438355,910.3581098701011,1.248736043870548e-10,0.3,15.0,780.2142857142857
44.846575342465755,913.687640637265,1.3925590041134625e-10,0.3,15.0,780.2142857142857
44.84931506849315,916.9776203687634,1.5545020929382373e-10,0.3,15.0,780.2142857142857
44.85205479452055,920.2270741726202,1.7369976883123434e-10,0.3,15.0,780.2142857142857
44.85479452054795,923.435039165533,1.94282082249024e-10,0.3,15.0,780.2142857142857
44.85753424657534,926.6005647582308,2.1751392926822928e-10,0.3,15.0,780.2142857142857
44.86027397260274,929.7227129371838,2.437571314922645e-10,0.3,15.0,780.2142857142857
44.86301369863014,932.8005585424943,2.734251881513899e-10,0.3,15.0,780.2142857142857
44.865753424657534,935.8331895420844,3.0699091636813795e-10,0.3,15.0,780.2142857142857
44.868493150684934,938.819707301939,3.4499525108557336e-10,0.3,15.0,780.2142857142857
44.87123287671233,941.7592268523823,3.8805738408708246e-10,0.3,15.0,780.2142857142857
44.87397260273973,944.6508771503507,4.368864496574288e-10,0.3,15.0,780.2142857142857
44.87671232876713,947.4938013374441,4.922949969814176e-10,0.3,15.0,780.2142857142857
44.87945205479452,950.2871569938615,5.552145270676618e-10,0.3,15.0,780.2142857142857
44.88219178082192,953.0301163880547,6.267134156096765e-10,0.3,15.0,780.2142857142857
44.88493150684931,955.7218667219394,7.080175937004854e-10,0.3,15.0,780.2142857142857
44.88767123287671,958.3616103718166,8.00534416786885e-10,0.3,15.0,780.2142857142857
44.89041095890411,960.9485651246634,9.058802199096555e-10,0.3,15.0,780.2142857142857
44.893150684931506,963.4819644099556,1.0259121356056897e-09,0.3,15.0,780.2142857142857
44.895890410958906,965.9610575268098,1.1627648414755129e-09,0.3,15.0,780.2142857142857
