t,model,s,i,r,R0,beta0,gamma,mu,alpha
52.13972602739726,seasonal_vital_sir,0.093750153520664,9.872230693168432e-14,0.9062498464792369,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.15890410958904,seasonal_vital_sir,0.09399840714072871,1.7511000529340546e-13,0.9060015928590958,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.178082191780824,seasonal_vital_sir,0.09424659275526771,3.0313350386239324e-13,0.9057534072444288,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.1972602739726,seasonal_vital_sir,0.0944947103828169,5.110311879969801e-13,0.9055052896166718,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.21643835616438,seasonal_vital_sir,0.09474276004186359,8.375308111376405e-13,0.9052572399572985,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.23561643835617,seasonal_vital_sir,0.09499074175083445,1.332728579888451e-12,0.9050092582478324,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.25479452054795,seasonal_vital_sir,0.09523865552808461,2.0574298527497894e-12,0.9047613444698575,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.273972602739725,seasonal_vital_sir,0.09548650139189145,3.0804844696880917e-12,0.9045134986050275,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.293150684931504,seasonal_vital_sir,0.09573427936045308,4.474127200918428e-12,0.9042657206350722,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.31232876712329,seasonal_vital_sir,0.09598198945189396,6.308032030519405e-12,0.9040180105417974,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.33150684931507,seasonal_vital_sir,0.09622963168427597,8.643500591613045e-12,0.9037703683070798,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.35068493150685,seasonal_vital_sir,0.09647720607561318,1.1529652541319794e-11,0.9035227939128563,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.369863013698634,seasonal_vital_sir,0.09672471264388424,1.500345479467624e-11,0.9032752873411113,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.38904109589041,seasonal_vital_sir,0.09697215140703681,1.9094897715174873e-11,0.9030278485738673,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.40821917808219,seasonal_vital_sir,0.09721952238297933,2.3837821243660083e-11,0.902780477593182,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.42739726027397,seasonal_vital_sir,0.09746682558955294,2.9286201676949725e-11,0.9025331743811601,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.446575342465756,seasonal_vital_sir,0.09771406104447983,3.5535536010365655e-11,0.9022859389199839,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.465753424657535,seasonal_vital_sir,0.09796122876528206,4.2749596434929466e-11,0.9020387711919676,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.484931506849314,seasonal_vital_sir,0.09820832876916372,5.1194426094548174e-11,0.901791671179641,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.50410958904109,seasonal_vital_sir,0.09845536107284136,6.128414102742565e-11,0.9015446388658735,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.52328767123288,seasonal_vital_sir,0.09870232569229943,7.364724070200139e-11,0.9012976742340524,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.54246575342466,seasonal_vital_sir,0.09894922264242724,8.922861493487747e-11,0.9010507772683433,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.56164383561644,seasonal_vital_sir,0.09919605193646559,1.0945323086853006e-10,0.9008039479540805,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.58082191780822,seasonal_vital_sir,0.09944281358513443,1.364964903592231e-10,0.9005571862783683,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.6,seasonal_vital_sir,0.09968950759522041,1.7374104551646424e-10,0.9003104922310378,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
